,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,CITY,STATE,School Name,REGION,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary
41,316747,992.23,195.49,2.82,14.73,208.39,808.35,56.77,Brunswick,Maine,Bowdoin-College,Northeastern,48100.00,107000.00,
42,620783,1945.0,130.77,2.78,16.91,139.4,803.85,60.53,Portland,Oregon,Reed-College,Western,40500.00,81100.00,
43,620783,1945.0,130.77,2.78,16.91,139.4,803.85,60.53,Portland,Oregon,Lewis-&-Clark-College,Western,38900.00,72600.00,140000.00
44,620783,1945.0,130.77,2.78,16.91,139.4,803.85,60.53,Portland,Oregon,Portland-State-University-(PSU),Western,42600.00,70900.00,123000.00
45,580412,1818.0,168.83,2.59,13.53,179.97,737.05,47.82,East Lansing,Michigan,Michigan-State-University-(MSU),Midwestern,46300.00,85300.00,170000.00
46,304319,953.3,159.11,2.63,14.1,169.61,661.24,53.37,Bloomington,Indiana,"Indiana-University-(IU),-Bloomington",Midwestern,46300.00,84000.00,178000.00
47,307789,964.17,178.22,2.4,12.97,189.98,809.86,52.09,Richmond,Virginia,Virginia-Commonwealth-University-(VCU),Southern,42000.00,68400.00,123000.00
48,889164,2785.0,149.72,3.2,17.13,159.6,778.34,56.15,Davis,California,"University-of-California,-Davis",California,52300.00,99600.00,202000.00
49,374066,1172.0,129.1,2.49,14.94,137.61,773.83,51.88,Bozeman,Montana,Montana-State-University---Bozeman,Western,46600.00,77500.00,151000.00
50,309524,969.6,154.58,2.53,14.74,164.78,655.24,50.34,Jacksonville,Florida,Jacksonville-University,Southern,46700.00,66200.00,121000.00
51,391407,1226.0,161.12,2.39,14.29,171.75,733.29,48.23,Tempe,Arizona,Arizona-State-University-(ASU),Western,47400.00,84100.00,163000.00
52,1109025,3474.0,201.36,2.99,16.27,214.64,901.42,66.24,Cambridge,Massachusetts,Massachusetts-Institute-of-Technology-(MIT),Northeastern,72200.00,126000.00,220000.00
53,1109025,3474.0,201.36,2.99,16.27,214.64,901.42,66.24,Cambridge,Massachusetts,Harvard-University,Northeastern,63400.00,124000.00,288000.00
54,262332,821.77,147.04,2.31,12.14,156.74,681.51,48.74,San Antonio,Texas,University-of-Texas-at-San-Antonio-(UTSA),Southern,42500.00,70700.00,121000.00
55,354160,1109.0,179.9,2.54,14.2,191.77,703.28,49.36,West Lafayette,Indiana,Purdue-University,Midwestern,51400.00,90500.00,168000.00
56,327915,1027.0,168.67,2.74,13.61,179.79,732.55,57.54,Fort Worth,Texas,Texas-Christian-University-(TCU),Southern,45100.00,78100.00,183000.00
57,258515,809.81,173.53,2.34,14.99,184.98,640.23,52.09,Auburn,Alabama,Auburn-University,Southern,45400.00,84700.00,145000.00
58,319587,1001.0,180.74,2.57,14.71,192.66,742.3,53.48,Kansas City,Missouri,University-of-Missouri---Kansas-City-(UMKC),Midwestern,38900.00,65800.00,124000.00
59,281764,882.64,149.55,2.66,13.68,159.42,682.26,48.95,Grand Rapids,Michigan,Davenport-University,Midwestern,39700.00,46600.00,85700.00
60,435485,1364.0,134.8,3.15,15.46,143.69,866.9,58.88,Bellingham,Washington,Western-Washington-University,Western,42700.00,75400.00,119000.00
61,299114,936.99,129.94,2.59,13.54,138.51,750.56,49.1,Longview,Texas,LeTourneau-University,Southern,49500.00,73800.00,126000.00
62,252269,790.25,192.31,2.62,15.34,204.99,766.32,49.98,St. Louis,Missouri,University-of-Missouri---St.-Louis-(UMSL),Midwestern,41400.00,67100.00,144000.00
63,426463,1336.0,173.03,2.67,16.34,184.44,790.34,52.96,Williamstown,Massachusetts,Williams-College,Northeastern,51700.00,102000.00,
64,325833,1021.0,179.73,2.49,14.37,191.59,851.13,48.74,Milwaukee,Wisconsin,Marquette-University,Midwestern,48500.00,88400.00,184000.00
65,325833,1021.0,179.73,2.49,14.37,191.59,851.13,48.74,Milwaukee,Wisconsin,University-of-Wisconsin-(UW)---Milwaukee,Midwestern,42300.00,74600.00,123000.00
66,327568,1026.0,143.01,2.64,15.43,152.45,806.85,52.5,Atlanta,Georgia,Georgia-Institute-of-Technology,Southern,58300.00,106000.00,183000.00
67,327568,1026.0,143.01,2.64,15.43,152.45,806.85,52.5,Atlanta,Georgia,Emory-University,Southern,52000.00,91600.00,192000.00
68,327568,1026.0,143.01,2.64,15.43,152.45,806.85,52.5,Atlanta,Georgia,Georgia-State-University,Southern,41800.00,74000.00,145000.00
69,302584,947.86,137.65,2.42,14.2,146.73,852.64,54.25,Baton Rouge,Louisiana,Louisiana-State-University-(LSU),Southern,46900.00,87800.00,165000.00
70,363656,1139.0,185.43,2.54,12.74,197.66,684.51,48.64,Houston,Texas,Rice-University,Southern,64000.00,110000.00,216000.00
71,363656,1139.0,185.43,2.54,12.74,197.66,684.51,48.64,Houston,Texas,University-of-Houston-(UH),Southern,46000.00,79900.00,141000.00
72,509743,1597.0,199.68,2.92,16.43,212.86,784.34,55.18,Burlington,Vermont,University-of-Vermont-(UVM),Northeastern,44800.00,82700.00,194000.00
